SlNo,CabinetId,CabinetNumber,Status,BranchId,BranchName,BranchCity,BranchArea,BranchAddress,MerchantId,MerchantName,MerchantAddress
1,1,BC101911010431,false,,,,,,,,
2,2,BC101910000005,false,,,,,,,,
3,3,BC101910000002,false,,,,,,,,
4,4,BC101911010445,false,,,,,,,,
5,5,BC101911001843,false,256,Baba's Ananda Nilayam-1,BANGALORE,KARNATAKA,"5th A cross , Rajashree layout, Munnekollal, Bangalore,560037",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
6,6,BC101911001609,false,,,,,,,,
7,7,BC101911001920,false,,,,,,,,
8,8,BC101911000711,false,2938,Just Bake Apna Day Market,BANGALORE,KARNATAKA,"APNA DAY MARKET, #205/A, WHITEFIELD MAIN ROAD, WHITEFIELD, Bengaluru, Karnataka 560066",4,Just Bake,"Ashok Pillar cafe coffee day , Bridage homestead, Ashok Pillar"
9,9,BC101911002127,false,1460,The Jaag Hotel - Lobby T Nagar,CHENNAI,TAMIL NADU,"41, Periyar Rd, Darmapuram, T. Nagar, Chennai, Tamil Nadu 600017",433,The Jaag Hotel - Lobby,"41, Periyar Rd, Darmapuram, T. Nagar, Chennai, Tamil Nadu 600017"
10,10,BC101911000709,false,,,,,,,,
11,11,BC101911001640,false,5888,Ittyon Hotel Taltala,KOLKATA,WEST BENGAL,"14 & 14/1, Sudder St, Fire Brigade Head Quarter, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700016, India",3353,Ittyon Hotel,"14 & 14/1, Sudder St, Fire Brigade Head Quarter, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700016"
12,12,BC101911001841,false,256,Baba's Ananda Nilayam-1,BANGALORE,KARNATAKA,"5th A cross , Rajashree layout, Munnekollal, Bangalore,560037",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
13,13,BC101911000734,true,486,French Loaf Palavakkam,CHENNAI,TAMIL NADU,"4/440, Sh 49, Sakthimoorthiamman Nagar, Palavakkam, Chennai, Tamil Nadu 600041",65,French Loaf,"146, TT Krishnamachari Rd, Cooperative Colony, MIG Colony, Alwarpet, Chennai, Tamil Nadu 600018"
14,14,BC101911001823,false,2943,D-Vag Enterprises 109 Navyug Market,NEW DELHI,DELHI,"Shop No.109, Navyug Market, Near Bank Of Baroda, Ghaziabad, Uttar Pradesh 201001",1317,D-Vag Enterprises,"109 Navyug Market Ghaziabad 201001"
15,15,BC101911001860,true,262,Galaxy Orchid Park,BANGALORE,KARNATAKA,"Seegehalli - Kannamangala Rd near Shell Petrol Pump, Krishnarajapura Bengaluru, Karnataka 560067",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
16,16,BC101911001623,false,,,,,,,,
17,17,BC101911001615,false,,,,,,,,
18,18,BC101911001825,true,476,French Loaf Besant Nagar,CHENNAI,TAMIL NADU,"T 46 A, Annai Velankanni Road, Besant Nagar, Chennai, Tamil Nadu 600090",65,French Loaf,"146, TT Krishnamachari Rd, Cooperative Colony, MIG Colony, Alwarpet, Chennai, Tamil Nadu 600018"
19,19,BC101911000876,false,,,,,,,,
20,20,BC101911001575,false,,,,,,,,
21,21,BC101911001731,false,2,Spykke Office,BANGALORE,KARNATAKA,"4th Floor, Prestige Commercial Complex Churchstreet, above Blossoms Book House, Haridevpur, Shanthala Nagar, Bengaluru, Karnataka 560001",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
22,22,BC101911001675,false,2278,Ilma International School Bomanahalli,BANGALORE,KARNATAKA,"49, 7th Cross Rd, Mangammanapalya, Bengaluru, Karnataka 560068",855,Ilma International School,"#112 #1138th Cross HG Palya Main Road HSR Sector 7 Bomanahalli"
23,23,BC101911001577,false,1854,Bangalore Metro Yelchenahalli,BANGALORE,KARNATAKA,"Kanakapura Rd Harsha Layout Kumaraswamy Layout Bengaluru, Arisinakunte, Karnataka 560078",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
24,24,BC101911000771,false,3947,PVR Phoenix Marketcity Mall Mahadevapura Bangalore,BANGALORE,KARNATAKA,"Whitefield main road, devesandra ,industrial estate, Mahadevapura, Bangalore Karnataka - 560048",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
25,25,BC101911000725,false,,,,,,,,
26,26,BC101911000747,false,,,,,,,,
27,27,BC101911000744,false,,,,,,,,
28,28,BC101911010449,false,,,,,,,,
29,29,BC101911010460,false,,,,,,,,
30,30,BC101911001056,false,,,,,,,,
31,31,BC101911000949,false,,,,,,,,
32,32,BC101911001051,false,1846,Bangalore Metro JP Nagar,BANGALORE,KARNATAKA,"Kanakapura rd,Gangadhar nagar,Umarbagh layout JP nagar,Bengaluru 560078",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
33,33,BC101911000450,false,118,Just Bake, Girinagar,BANGALORE,KARNATAKA,"194, Vishweshwaraiah Rd, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka 560085, India",4,Just Bake,"Ashok Pillar cafe coffee day , Bridage homestead, Ashok Pillar"
34,34,BC101911001134,false,,,,,,,,
35,35,BC101911001209,true,271,Sai Lakshmi residency,HYDERABAD,TELANGANA,"679, Prashanth Nagar, Vanasthalipuram, Hyderabad, Telangana 500070",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
36,36,BC101911006381,false,,,,,,,,
37,37,BC101911001188,false,265,Shivalik Vihar,PATIALA,PUNJAB,"AKS2  Shivalik Vihar Patiala Road Zirakpur",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
38,38,BC101911001150,false,,,,,,,,
39,39,BC101911002464,false,,,,,,,,
40,40,BC101911001950,true,25,Cafe Coffee Day Cunningham Road Bangalore,BANGALORE,KARNATAKA,"cafe coffee day 35/4, Cunningham Road, Near Sigma Mall,Bengaluru,Karnataka,560052",5,Cafe Coffee Day,"CAFE COFFEE DAY, GROUND FLOOR,        NO 35/4, CUNNINGHAM ROAD,        560052"
41,41,BC101911001838,false,272,Triveni apartments,CHENNAI,TAMIL NADU,"6th Block Triveni apartments Barakka road, secretariat Colony Kilpack Chennai",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
42,42,BC101911003133,true,1515,The Slate AYR Nungambakkam,CHENNAI,TAMIL NADU,"23, 13, Khader Nawaz Khan Rd, Srirampuram, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006",437,The Slate,"23, 13, Khader Nawaz Khan Rd, Srirampuram, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006"
43,43,BC101911001542,true,6779,Chennai Metro Egmore,CHENNAI,TAMIL NADU,"37H6+JC Chennai, Tamil Nadu",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
44,44,BC101911003737,false,,,,,,,,
45,45,BC101911008124,false,,,,,,,,
46,46,BC101911003703,false,,,,,,,,
47,47,BC101911003724,false,,,,,,,,
48,48,BC101911008094,false,,,,,,,,
49,49,BC101911008104,true,7293,Advaith Hyundai Vasanth Nagar,BANGALORE,KARNATAKA,"XHVW+5C Bengaluru, Karnataka",4203,Advaith Hyundai,"# 32,  Residency Rd, opp. Hotel Gateway, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025"
50,50,BC101911008073,false,,,,,,,,
51,51,BC101911008091,false,,,,,,,,
52,52,BC101911008092,false,,,,,,,,
53,53,BC101911008081,false,,,,,,,,
54,54,BC101911008098,false,,,,,,,,
55,55,BC101911008082,false,,,,,,,,
56,56,BC101911000568,false,,,,,,,,
57,57,BC101911000541,false,,,,,,,,
58,58,BC101911000548,false,,,,,,,,
59,59,BC101911001037,false,6785,PVR Cinemas PVR Mahagun-Kaushambi,NEW DELHI,DELHI,"Mahagun Metro Mall VC3, Sector 3, Vaishali, Ghaziabad, Uttar Pradesh 201010",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
60,60,BC101911001379,false,1312,Burger Point,Zirakpur,CHANDIGARH,PUNJAB,"Shop No. 247, Ground Floor, VIP Plaza, VIP Road, Zirakpur, Punjab 140603, India",353,Burger Point,"sco num 247 Devaji Plaza Vip road Zirakpur"
61,61,BC101911001212,false,,,,,,,,
62,62,BC101911005983,false,819,Master Saleem Zirakpur,CHANDIGARH,PUNJAB,"VIP Rd, Zirakpur, Punjab 140603, India",246,Master Saleem,"sco 33-34 1st floor Block B street market Vip Road Zirakpur"
63,63,BC101911004555,false,3672,M/S Ghaziabad Tyre House SD Inter College Building GT Road,NEW DELHI,DELHI,"Shop No 8 to 10, SD College Building, GT Road, Ghaziabad, Uttar Pradesh 201001",1776,M/S Ghaziabad Tyre House,"Shop Number 8-10 SD Inter College Building GT Road Ghaziabad  201001 Delhi NCR"
64,64,BC101911005917,false,,,,,,,,
65,65,BC101911005133,true,4584,PVR Kukatpally Telangana,HYDERABAD,TELANGANA,"4th Floor, Forum Sujana Mall, Plot No S-16, Survey No.1009, KPHB Phase 6, Opp Malaysian Township, Kukatpally, Hyderabad, Telangana 500072",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
66,66,BC101911004636,false,,,,,,,,
67,67,BC101911005923,false,,,,,,,,
68,68,BC101911004680,true,6776,Chennai Metro Perimet,CHENNAI,TAMIL NADU,"37JF+M9 Chennai, Tamil Nadu",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
69,69,BC101911006096,false,,,,,,,,
70,70,BC101911001538,false,6174,S R Opticals Sector 50,NEW DELHI,DELHI,"C-18, GF, Nirvana Courtyard Market, Sector 50, Gurgaon Haryana 122018",3536,S R Opticals,"C-18, GF, Nirvana Courtyard Market, Sector 50, Gurgaon Haryana 122018"
71,71,BC101911001635,false,,,,,,,,
72,72,BC101911001910,false,3413,Flavours Restaurant Test,BANGALORE,KARNATAKA,"Colosseo Ventures,Marathahalli, Bangalore,560037",1629,Flavours Restaurant,"Bangalore"
73,73,BC101911001909,false,5338,Paul Salon For Men & Women B.Narayanapura,BANGALORE,KARNATAKA,"Hewlett Packard Enterprise, Main Rd, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016",2946,Paul Salon For Men & Women,"#A6/1,kamadhenunagar,1st stageB.narayanapura,opp.to sub register office dooravani agar post, Bangalore"
74,74,BC101911001968,false,,,,,,,,
75,75,BC101911001962,false,,,,,,,,
76,76,BC101911000944,false,3411,Spin Saloon Vidyaranyapura,BANGALORE,KARNATAKA,"No. 1243, 1st block, BEL Layout, Near Axis bank, Vidyaranyapura, Bangaloore 560097",1623,Spin Saloon,"No.1, Above dominos pizza, Defence colony, Bagalugunte, Bangalore 560073"
77,77,BC101911000959,false,,,,,,,,
78,78,BC101911002178,false,,,,,,,,
79,79,BC101911001526,false,,,,,,,,
80,80,BC101911001626,false,,,,,,,,
81,81,BC101911003124,false,,,,,,,,
82,82,BC101911001530,true,2059,Santosh Tea & Traders Ukkadam,COIMBATORE,TAMIL NADU,"131., baskara Naidu street , st no 1, nazz theatre road, ukkadam, Coimbatore",693,Santosh Tea & Traders,"131., baskara Naidu street , st no 1, nazz theatre road, ukkadam, Coimbatore"
83,83,BC101911002172,false,,,,,,,,
84,84,BC101911001519,true,6795,PVR Cinemas Star Mall Gurgaon,NEW DELHI,DELHI,"NH 8, Block A, Sector 30, Gurugram, Haryana 122022",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
85,85,BC101911001559,false,,,,,,,,
86,86,BC101911001725,false,6476,Hi Tech Enterprises Ambedkar Road,NEW DELHI,DELHI,"Shop No 315 Kallupura Near Maliwara Chowk Ambedkar Road Ghaziabad 201001",3747,Hi Tech Enterprises,"Shop No 315 Kallupura Near Maliwara Chowk Ambedkar Road Ghaziabad 201001"
87,87,BC101911003099,false,,,,,,,,
88,88,BC101911001167,false,,,,,,,,
89,89,BC101911001762,false,,,,,,,,
90,90,BC101911001624,false,806,Vishwas Hospital Lohgarh,CHANDIGARH,PUNJAB,"SCO 40, Lohgarh Rd, opposite green enclave, near Hotel Regenta central, Green Enclave, Lohgarh, Zirakpur, Punjab 140603, India",229,Vishwas Hospital,"Sco 40 opp green enclave near hotel regents central lohgarh road Zirakpur"
91,91,BC101911001254,true,,,,,,,,
92,92,BC101911006343,false,,,,,,,,
93,93,BC101911006346,true,6139,Crown Aura Apartment,BANGALORE,KARNATAKA,"Crown Aura Jakkur Plantation, Jakkuru, Bengaluru, Karnataka 560064",3524,Mr. Ramani Iyer,"Jakkur Plantation, Jakkuru, Bengaluru, Karnataka 560064"
94,94,BC101911001524,false,,,,,,,,
95,95,BC101911001893,false,,,,,,,,
96,96,BC101911001836,false,6156,Cell World Old Madiwala,BANGALORE,KARNATAKA,"No.3,old MADIWALA ,vp road, Bengaluru 560068",280,Cell World,"Shop Number 52, Mehrauli Road DLF colony , Sector 14 Gurgaon"
97,97,BC101911002771,false,5276,HD Communication Opposite SBI Bank Gandhi Nagar,NEW DELHI,DELHI,"Shop No.4, Opposite SBI Bank Gandhi Nagar Ghaziabad 201001",2894,HD Communication,"Shop No.4, Opposite SBI Bank Gandhi Nagar Ghaziabad 201001"
98,98,BC101911001603,true,4129,Jan Seva Kendra Sutiyana,NEW DELHI,DELHI,"Sutiyana, Main Market, Near Bus Stand, GB Nagar, Greater Noida, 201306 Delhi NCR",2041,Jan Seva Kendra,"Sutiyana, Main Market, Near Bus Stand, GB Nagar, Greater Noida, 201306 Delhi NCR"
99,99,BC101911002114,false,6173,Earth Villa Gurgaon Sector 57,NEW DELHI,DELHI,"Plot No.2096, Sector 57, Sushant Lok 2, Near MKM Market Gurgaon Haryana 122011",3535,Earth Villa Gurgaon,"Plot No.2096, Sector 57, Sushant Lok 2, Near MKM Market Gurgaon Haryana 122011"
100,100,BC101911001927,false,,,,,,,,
101,101,BC101911002144,false,5626,Om Sweets Faridabad,NEW DELHI,DELHI,"93,94 Huda Market Sector 16 Faridabad 121002",2962,Om Sweets,"M3M, Cosmopolitan Mall Shop No. 1, Golf Course Extention Road, Sector 66 Gurgaon 122001"
102,102,BC101911002128,false,6741,Chennai Metro Alandur,CHENNAI,TAMIL NADU,"Jawaharlal Nehru Rd,Vinayagapuram, Arumbakkam, Chennai, Tamil Nadu 600106",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
103,103,BC101911001681,true,6671,Baba Homes A-1140 Sushant Lok 1,NEW DELHI,DELHI,"A-1140, Sushant Lok 1, Gurgaon Haryana 122002",3832,Baba Homes,"C-327,sushant Lok 1,gurgaon Haryana 122002"
104,104,BC101911002147,false,,,,,,,,
105,105,BC101911001571,false,6089,MGM Telecom (Mi Store) Surya Nagar,NEW DELHI,DELHI,"Shop No 35,36 Devika Tower Surya Nagar Ghaziabad 201011",3489,MGM Telecom,"Gf 32 Devika Tower Surya Nagar Ghaziabad 201011"
106,106,BC101911002137,false,,,,,,,,
107,107,BC101911001837,false,,,,,,,,
108,108,BC101911003122,false,,,,,,,,
109,109,BC101911001116,false,4315,OSM Stays Boys PG JP House No. 43,NEW DELHI,DELHI,"JP House No. 43, Kirtinagar, Sec 15 part -1, Gurgaon, 122001 Delhi NCR",2164,OSM Stays Boys PG,"Plot No. 37, Rishi House, Near Radhe Krishna Temple, Kirtinagar, Sec 15 Part -1, Gurgaon, 122001 Delhi NCR"
110,110,BC101911002810,false,6532,Black & White Madipakkam,CHENNAI,TAMIL NADU,"4th Cross St, Meenatchi Sundareswarar Koil, Sadasiva Nagar, Madipakkam, Chennai, Tamil Nadu 600091",3806,Black & White,"No : 159 , 4th Cross street , sadashivanagar Madipakkam , near police booth , Chennai-600091"
111,111,BC101911001215,false,,,,,,,,
112,112,BC101911001631,false,,,,,,,,
113,113,BC101911001921,false,6787,PVR Cinemas PVR Prashant Vihar,NEW DELHI,DELHI,"2 Fun city Mall, Pvr Prashant Vihar Road, Prashant Vihar, Sector 14, New Delhi, Delhi 110085",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
114,114,BC101911001611,false,,,,,,,,
115,115,BC101911000716,false,4235,Cafe Coffee Day Crystal,KOLKATA,WEST BENGAL,"CRYSTAL MALL- I, GLOBSYN CRYSTALS,XI-11 & 12, BLOCK-EP, SECTOR-V, SALT, Kolkata-700091",5,Cafe Coffee Day,"CAFE COFFEE DAY, GROUND FLOOR,        NO 35/4, CUNNINGHAM ROAD,        560052"
116,116,BC101911001637,false,6565,Kalra Car Accesories Thakran Market,NEW DELHI,DELHI,"Shop No, 3,4, Thakran Market, South City Road, Sector 47 Gurgaon",3829,Kalra Car Accesories,"4, Vatika City , Badshahpur Chowk, Gurgaon, 12201	hitesh	9891565541"
117,117,BC101911002117,false,5920,Ever Youth Velachery,CHENNAI,TAMIL NADU,"Shop F - 50, Velachery Main Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",3362,Ever Youth,"No.42/295,madhava avenue,velachery main road, velachery, Chennai-6000042"
118,118,BC101911001889,false,6786,PVR Cinemas DLF Promenade Mall,NEW DELHI,DELHI,"2nd Floor DLF Promenade Mall Nelson Mandela Road, Vasant Kunj Marg, Vasant Kunj II, New Delhi, Delhi 110070",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
119,119,BC101911001595,false,7193,Hyderabad Metro ESI Hospital,HYDERABAD,TELANGANA,"Hyderabad Metro Station ESI Hospital",4142,Hyderabad Metro,"Hyderabad Metro Rail Depot, Uppal Main Road, Uppal, Hyderabad - 500039"
120,120,BC101911001101,false,,,,,,,,
121,121,BC101911002215,true,5582,Raize the Bar Saltlake,KOLKATA,WEST BENGAL,"Godrej Waterside IT Park Plot No 5 College More, DP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091, India",3119,Raize the Bar,"Godrej Waterside IT Park Plot No 5 College More, DP Block, Bidhannagar, Kolkata, West Bengal-700091"
122,122,BC101911001894,true,5708,Let's Play Kilpauk,CHENNAI,TAMIL NADU,"9/5 , thambhu street , old millers road , kilpauk , chennai 600010",3222,Let's Play,"9/5 , thambhu street , old millers road , kilpauk , chennai 600010"
123,123,BC101911000783,false,,,,,,,,
124,124,BC101911000842,false,7189,PVR Phoenix Market City,PUNE,MAHARASHTRA,"PVR  2nd Floor, Phoenix Market City, Nagar Road, near Baker Gauges, Pune, Maharashtra 411014",71,PVR,"3rd Grand Square Mall 137, Tambaram, Velachery - Tambaram Main Rd, Velachery, Chennai, Tamil Nadu 600042"
125,125,BC101911004967,false,4783,Baljeet Telecom Gandhi Nagar,NEW DELHI,DELHI,"Shop No 7, 9/8, Gandhi Nagar Main Rd, Gandhi Nagar, Seelampur, Shahdara, Delhi, 110031, India",2487,Baljeet Telecom,"Shop No 7&8, Main Road Gandhi Nagar, Opposite Jain Mandir Wali Gali, Gandhi Nagar, Delhi 110031 Delhi NCR"
126,126,BC101911000933,false,3817,3 Storey Grocery Main Jharsa Road,NEW DELHI,DELHI,"3 Storey Plot No. 1, Main Jharsa Road, Sector 15, Gurgaon 122001 Delhi NCR",1883,3 Storey,"Plot No. 1, Main Jharsa Road, Sector 15, Gurgaon 122001 Delhi NCR"
127,127,BC101911005066,false,828,Meet Up Cafe Zirakpur,CHANDIGARH,PUNJAB,"Chandigarh Citi Center Office, SCO 49, Block B, 4th Floor, Zirakpur, Punjab 140603",256,Meet Up Cafe,"Chandigarh city centre sco 49 Block B 4th floor Vip road Zirakpur"
128,128,BC101911004900,false,5849,Adhyayana the Library Sector 14,NEW DELHI,DELHI,"1st floor, 729/1, near govt, girls college, old dlf, sector 14, gurgaon 122001",3329,Adhyayana the Library,"1st floor, 729/1, near govt, girls college, old dlf, sector 14, gurgaon 122001"
129,129,BC101911005998,false,,,,,,,,
130,130,BC101911004823,false,5631,W Aurile Faridabad,NEW DELHI,DELHI,"Shop No. 114,115, Sector 15 Main Market Faridabad 121007",3157,W Aurile,"Shop No. 114,115, Sector 15 Main Market Faridabad 121007"
131,131,BC101911005067,false,5266,Lodhi Sports MG Road, Gurgaon,NEW DELHI,DELHI,"Gf-3&4, MGF Plaza, MG Road, Gurgaon 122002",2883,Lodhi Sports,"Gf-3&4, MGF Plaza, MG Road, Gurgaon 122002"
132,132,BC101911005965,true,,,,,,,,
133,133,BC101911005938,false,,,,,,,,
134,134,BC101911004571,false,2106,Anand Multi Speciality Hospital Gurugram Sec - 56,NEW DELHI,DELHI,"Anand Multi Speciality Hospital Sector 56 Gurugram",734,Anand Multi Speciality Hospital,"Plot No. 29, Sector 56, Gurugram, Haryana"
